id	language	choices_file	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo
41	41_svo_gn_er_b_pa	41_svo_gn_er_b_pa.choice	svo	gn	erg-abs	er	balancing	b	poss-acc	pa	svo
42	42_svo_gn_er_b_ep	42_svo_gn_er_b_ep.choice	svo	gn	erg-abs	er	balancing	b	erg-poss	ep	sov
43	43_svo_gn_er_b_no	43_svo_gn_er_b_no.choice	svo	gn	erg-abs	er	balancing	b	nomn	no	svo
44	44_svo_gn_er_d_se	44_svo_gn_er_d_se.choice	svo	gn	erg-abs	er	deranking	d	sent	se	svo
45	45_svo_gn_er_d_pa	45_svo_gn_er_d_pa.choice	svo	gn	erg-abs	er	deranking	d	poss-acc	pa	svo
46	46_svo_gn_er_d_ep	46_svo_gn_er_d_ep.choice	svo	gn	erg-abs	er	deranking	d	erg-poss	ep	sov
47	47_svo_gn_er_d_no	47_svo_gn_er_d_no.choice	svo	gn	erg-abs	er	deranking	d	nomn	no	svo
48	48_svo_ng_ac_b_se	48_svo_ng_ac_b_se.choice	svo	ng	nom-acc	ac	balancing	b	sent	se	svo
49	49_svo_ng_ac_b_pa	49_svo_ng_ac_b_pa.choice	svo	ng	nom-acc	ac	balancing	b	poss-acc	pa	vos
50	50_svo_ng_ac_b_ep	50_svo_ng_ac_b_ep.choice	svo	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos
51	51_svo_ng_ac_b_no	51_svo_ng_ac_b_no.choice	svo	ng	nom-acc	ac	balancing	b	nomn	no	vos
52	52_svo_ng_ac_d_se	52_svo_ng_ac_d_se.choice	svo	ng	nom-acc	ac	deranking	d	sent	se	svo
53	53_svo_ng_ac_d_pa	53_svo_ng_ac_d_pa.choice	svo	ng	nom-acc	ac	deranking	d	poss-acc	pa	vos
54	54_svo_ng_ac_d_ep	54_svo_ng_ac_d_ep.choice	svo	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos
55	55_svo_ng_ac_d_no	55_svo_ng_ac_d_no.choice	svo	ng	nom-acc	ac	deranking	d	nomn	no	vos
56	56_svo_ng_er_b_se	56_svo_ng_er_b_se.choice	svo	ng	erg-abs	er	balancing	b	sent	se	svo
57	57_svo_ng_er_b_pa	57_svo_ng_er_b_pa.choice	svo	ng	erg-abs	er	balancing	b	poss-acc	pa	vos
58	58_svo_ng_er_b_ep	58_svo_ng_er_b_ep.choice	svo	ng	erg-abs	er	balancing	b	erg-poss	ep	vos
59	59_svo_ng_er_b_no	59_svo_ng_er_b_no.choice	svo	ng	erg-abs	er	balancing	b	nomn	no	vos
60	60_svo_ng_er_d_se	60_svo_ng_er_d_se.choice	svo	ng	erg-abs	er	deranking	d	sent	se	svo
61	61_svo_ng_er_d_pa	61_svo_ng_er_d_pa.choice	svo	ng	erg-abs	er	deranking	d	poss-acc	pa	vos
62	62_svo_ng_er_d_ep	62_svo_ng_er_d_ep.choice	svo	ng	erg-abs	er	deranking	d	erg-poss	ep	vos
63	63_svo_ng_er_d_no	63_svo_ng_er_d_no.choice	svo	ng	erg-abs	er	deranking	d	nomn	no	vos
64	64_vos_gn_ac_b_se	64_vos_gn_ac_b_se.choice	vos	gn	nom-acc	ac	balancing	b	sent	se	vos
65	65_vos_gn_ac_b_pa	65_vos_gn_ac_b_pa.choice	vos	gn	nom-acc	ac	balancing	b	poss-acc	pa	svo
66	66_vos_gn_ac_b_ep	66_vos_gn_ac_b_ep.choice	vos	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov
67	67_vos_gn_ac_b_no	67_vos_gn_ac_b_no.choice	vos	gn	nom-acc	ac	balancing	b	nomn	no	svo
68	68_vos_gn_ac_d_se	68_vos_gn_ac_d_se.choice	vos	gn	nom-acc	ac	deranking	d	sent	se	vos
69	69_vos_gn_ac_d_pa	69_vos_gn_ac_d_pa.choice	vos	gn	nom-acc	ac	deranking	d	poss-acc	pa	svo
70	70_vos_gn_ac_d_ep	70_vos_gn_ac_d_ep.choice	vos	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov
71	71_vos_gn_ac_d_no	71_vos_gn_ac_d_no.choice	vos	gn	nom-acc	ac	deranking	d	nomn	no	svo
72	72_vos_gn_er_b_se	72_vos_gn_er_b_se.choice	vos	gn	erg-abs	er	balancing	b	sent	se	vos
73	73_vos_gn_er_b_pa	73_vos_gn_er_b_pa.choice	vos	gn	erg-abs	er	balancing	b	poss-acc	pa	svo
74	74_vos_gn_er_b_ep	74_vos_gn_er_b_ep.choice	vos	gn	erg-abs	er	balancing	b	erg-poss	ep	sov
75	75_vos_gn_er_b_no	75_vos_gn_er_b_no.choice	vos	gn	erg-abs	er	balancing	b	nomn	no	svo
76	76_vos_gn_er_d_se	76_vos_gn_er_d_se.choice	vos	gn	erg-abs	er	deranking	d	sent	se	vos
77	77_vos_gn_er_d_pa	77_vos_gn_er_d_pa.choice	vos	gn	erg-abs	er	deranking	d	poss-acc	pa	svo
78	78_vos_gn_er_d_ep	78_vos_gn_er_d_ep.choice	vos	gn	erg-abs	er	deranking	d	erg-poss	ep	sov
79	79_vos_gn_er_d_no	79_vos_gn_er_d_no.choice	vos	gn	erg-abs	er	deranking	d	nomn	no	svo
80	80_vos_ng_ac_b_se	80_vos_ng_ac_b_se.choice	vos	ng	nom-acc	ac	balancing	b	sent	se	vos
81	81_vos_ng_ac_b_pa	81_vos_ng_ac_b_pa.choice	vos	ng	nom-acc	ac	balancing	b	poss-acc	pa	vos
82	82_vos_ng_ac_b_ep	82_vos_ng_ac_b_ep.choice	vos	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos
83	83_vos_ng_ac_b_no	83_vos_ng_ac_b_no.choice	vos	ng	nom-acc	ac	balancing	b	nomn	no	vos
84	84_vos_ng_ac_d_se	84_vos_ng_ac_d_se.choice	vos	ng	nom-acc	ac	deranking	d	sent	se	vos
85	85_vos_ng_ac_d_pa	85_vos_ng_ac_d_pa.choice	vos	ng	nom-acc	ac	deranking	d	poss-acc	pa	vos
86	86_vos_ng_ac_d_ep	86_vos_ng_ac_d_ep.choice	vos	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos
87	87_vos_ng_ac_d_no	87_vos_ng_ac_d_no.choice	vos	ng	nom-acc	ac	deranking	d	nomn	no	vos
88	88_vos_ng_er_b_se	88_vos_ng_er_b_se.choice	vos	ng	erg-abs	er	balancing	b	sent	se	vos
89	89_vos_ng_er_b_pa	89_vos_ng_er_b_pa.choice	vos	ng	erg-abs	er	balancing	b	poss-acc	pa	vos
90	90_vos_ng_er_b_ep	90_vos_ng_er_b_ep.choice	vos	ng	erg-abs	er	balancing	b	erg-poss	ep	vos
91	91_vos_ng_er_b_no	91_vos_ng_er_b_no.choice	vos	ng	erg-abs	er	balancing	b	nomn	no	vos
92	92_vos_ng_er_d_se	92_vos_ng_er_d_se.choice	vos	ng	erg-abs	er	deranking	d	sent	se	vos
93	93_vos_ng_er_d_pa	93_vos_ng_er_d_pa.choice	vos	ng	erg-abs	er	deranking	d	poss-acc	pa	vos
94	94_vos_ng_er_d_ep	94_vos_ng_er_d_ep.choice	vos	ng	erg-abs	er	deranking	d	erg-poss	ep	vos
95	95_vos_ng_er_d_no	95_vos_ng_er_d_no.choice	vos	ng	erg-abs	er	deranking	d	nomn	no	vos
