phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_8_tran_VP_order	sov	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	sov	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	sov	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	svo	gn	erg-abs	8	800	1.000000	0.005000	0.995000
1_8_tran_VP_order	svo	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	svo	ng	erg-abs	8	800	1.000000	0.005000	0.995000
1_8_tran_VP_order	svo	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	vos	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	vos	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	vos	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	vos	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_9_intran_V_valency	sov	gn	erg-abs	8	800	0.631250	0.510000	0.309312
1_9_intran_V_valency	sov	gn	nom-acc	8	800	0.708750	0.510000	0.347287
1_9_intran_V_valency	sov	ng	erg-abs	8	800	0.635000	0.510000	0.311150
1_9_intran_V_valency	sov	ng	nom-acc	8	800	0.681250	0.510000	0.333813
1_9_intran_V_valency	svo	gn	erg-abs	8	800	0.735000	0.510000	0.360150
1_9_intran_V_valency	svo	gn	nom-acc	8	800	0.718750	0.510000	0.352187
1_9_intran_V_valency	svo	ng	erg-abs	8	800	0.718750	0.510000	0.352187
1_9_intran_V_valency	svo	ng	nom-acc	8	800	0.751250	0.510000	0.368112
1_9_intran_V_valency	vos	gn	erg-abs	8	800	0.667500	0.510000	0.327075
1_9_intran_V_valency	vos	gn	nom-acc	8	800	0.630000	0.510000	0.308700
1_9_intran_V_valency	vos	ng	erg-abs	8	800	0.642500	0.510000	0.314825
1_9_intran_V_valency	vos	ng	nom-acc	8	800	0.666250	0.510000	0.326462
2_1_intran_gen_marker	sov	gn	erg-abs	8	800	0.763750	0.480000	0.397150
2_1_intran_gen_marker	sov	gn	nom-acc	8	800	0.982500	0.000000	0.982500
2_1_intran_gen_marker	sov	ng	erg-abs	8	800	0.913750	0.000000	0.913750
2_1_intran_gen_marker	sov	ng	nom-acc	8	800	0.752500	0.480000	0.391300
2_1_intran_gen_marker	svo	gn	erg-abs	8	800	0.990000	0.000000	0.990000
2_1_intran_gen_marker	svo	gn	nom-acc	8	800	0.995000	0.000000	0.995000
2_1_intran_gen_marker	svo	ng	erg-abs	8	800	0.943750	0.000000	0.943750
2_1_intran_gen_marker	svo	ng	nom-acc	8	800	0.946250	0.000000	0.946250
2_1_intran_gen_marker	vos	gn	erg-abs	8	800	0.988750	0.000000	0.988750
2_1_intran_gen_marker	vos	gn	nom-acc	8	800	0.771250	0.480000	0.401050
2_1_intran_gen_marker	vos	ng	erg-abs	8	800	0.783750	0.480000	0.407550
2_1_intran_gen_marker	vos	ng	nom-acc	8	800	0.873750	0.000000	0.873750
2_2_tran_gen_marker	sov	gn	erg-abs	8	800	0.841250	0.000000	0.841250
2_2_tran_gen_marker	sov	gn	nom-acc	8	800	0.950000	0.000000	0.950000
2_2_tran_gen_marker	sov	ng	erg-abs	8	800	0.813750	0.005000	0.809681
2_2_tran_gen_marker	sov	ng	nom-acc	8	800	0.905000	0.000000	0.905000
2_2_tran_gen_marker	svo	gn	erg-abs	8	800	0.951250	0.000000	0.951250
2_2_tran_gen_marker	svo	gn	nom-acc	8	800	0.995000	0.000000	0.995000
2_2_tran_gen_marker	svo	ng	erg-abs	8	800	0.906250	0.005000	0.901719
2_2_tran_gen_marker	svo	ng	nom-acc	8	800	0.931250	0.000000	0.931250
2_2_tran_gen_marker	vos	gn	erg-abs	8	800	0.975000	0.005000	0.970125
2_2_tran_gen_marker	vos	gn	nom-acc	8	800	0.951250	0.000000	0.951250
2_2_tran_gen_marker	vos	ng	erg-abs	8	800	0.861250	0.000000	0.861250
2_2_tran_gen_marker	vos	ng	nom-acc	8	800	0.868750	0.000000	0.868750
2_3_gen_order	sov	gn	erg-abs	8	800	1.000000	0.350000	0.650000
2_3_gen_order	sov	gn	nom-acc	8	800	1.000000	0.350000	0.650000
2_3_gen_order	sov	ng	erg-abs	8	800	0.888750	0.360000	0.568800
2_3_gen_order	sov	ng	nom-acc	8	800	0.952500	0.360000	0.609600
2_3_gen_order	svo	gn	erg-abs	8	800	1.000000	0.000000	1.000000
2_3_gen_order	svo	gn	nom-acc	8	800	1.000000	0.000000	1.000000
2_3_gen_order	svo	ng	erg-abs	8	800	0.998750	0.000000	0.998750
2_3_gen_order	svo	ng	nom-acc	8	800	1.000000	0.000000	1.000000
2_3_gen_order	vos	gn	erg-abs	8	800	0.958750	0.360000	0.613600
2_3_gen_order	vos	gn	nom-acc	8	800	0.942500	0.360000	0.603200
2_3_gen_order	vos	ng	erg-abs	8	800	0.897500	0.350000	0.583375
2_3_gen_order	vos	ng	nom-acc	8	800	0.747500	0.350000	0.485875
3_1_clausal_V_form	sov	gn	erg-abs	8	800	0.981250	0.176250	0.808305
3_1_clausal_V_form	sov	gn	nom-acc	8	800	0.992500	0.000000	0.992500
