phenomenon	strategy	alignment	n_languages	n_pairs	mean_accuracy_strict	bad_parse	bad_parse_rate
4_2_anc_S_marker	erg-poss	nom-acc	12	1200	0.988333	12	0.010000
4_2_anc_S_marker	nomn	erg-abs	12	1200	0.930833	297	0.247500
4_2_anc_S_marker	nomn	nom-acc	12	1200	0.971667	12	0.010000
4_2_anc_S_marker	poss-acc	erg-abs	12	1200	0.901667	659	0.549167
4_2_anc_S_marker	poss-acc	nom-acc	12	1200	0.970000	12	0.010000
4_2_anc_S_marker	sent	erg-abs	12	1200	0.469167	602	0.501667
4_2_anc_S_marker	sent	nom-acc	12	1200	0.338333	602	0.501667
4_3_anc_A_marker	erg-poss	erg-abs	12	1200	0.342500	0	0.000000
4_3_anc_A_marker	erg-poss	nom-acc	12	1200	0.754167	24	0.020000
4_3_anc_A_marker	nomn	erg-abs	12	1200	0.689167	0	0.000000
4_3_anc_A_marker	nomn	nom-acc	12	1200	0.984167	28	0.023333
4_3_anc_A_marker	poss-acc	erg-abs	12	1200	0.634167	300	0.250000
4_3_anc_A_marker	poss-acc	nom-acc	12	1200	0.981667	28	0.023333
4_3_anc_A_marker	sent	erg-abs	12	1200	0.835833	800	0.666667
4_3_anc_A_marker	sent	nom-acc	12	1200	0.245000	804	0.670000
4_4_anc_P_marker	erg-poss	erg-abs	12	1200	0.981667	36	0.030000
4_4_anc_P_marker	erg-poss	nom-acc	12	1200	0.969167	0	0.000000
4_4_anc_P_marker	nomn	erg-abs	12	1200	0.945000	208	0.173333
4_4_anc_P_marker	nomn	nom-acc	12	1200	0.958333	0	0.000000
4_4_anc_P_marker	poss-acc	erg-abs	12	1200	0.655000	1002	0.835000
4_4_anc_P_marker	poss-acc	nom-acc	12	1200	0.973333	1000	0.833333
4_4_anc_P_marker	sent	erg-abs	12	1200	0.760000	408	0.340000
4_4_anc_P_marker	sent	nom-acc	12	1200	0.965000	400	0.333333
4_5_anc_SV_order	erg-poss	erg-abs	12	1200	0.941667	402	0.335000
4_5_anc_SV_order	erg-poss	nom-acc	12	1200	0.975833	400	0.333333
4_5_anc_SV_order	nomn	erg-abs	12	1200	0.859167	402	0.335000
4_5_anc_SV_order	nomn	nom-acc	12	1200	0.877500	400	0.333333
4_5_anc_SV_order	poss-acc	erg-abs	12	1200	0.835000	406	0.338333
4_5_anc_SV_order	poss-acc	nom-acc	12	1200	0.887500	400	0.333333
4_5_anc_SV_order	sent	erg-abs	12	1200	0.816667	364	0.303333
4_5_anc_SV_order	sent	nom-acc	12	1200	0.973333	0	0.000000
4_6_anc_AV_order	erg-poss	erg-abs	12	1200	0.865000	0	0.000000
4_6_anc_AV_order	erg-poss	nom-acc	12	1200	0.926667	0	0.000000
4_6_anc_AV_order	nomn	erg-abs	12	1200	0.866667	400	0.333333
4_6_anc_AV_order	nomn	nom-acc	12	1200	0.913333	400	0.333333
4_6_anc_AV_order	poss-acc	erg-abs	12	1200	0.857500	400	0.333333
4_6_anc_AV_order	poss-acc	nom-acc	12	1200	0.924167	400	0.333333
4_6_anc_AV_order	sent	erg-abs	12	1200	1.000000	0	0.000000
4_6_anc_AV_order	sent	nom-acc	12	1200	0.983333	4	0.003333
4_7_anc_VP_order	erg-poss	erg-abs	12	1200	0.846667	600	0.500000
4_7_anc_VP_order	erg-poss	nom-acc	12	1200	0.969167	600	0.500000
4_7_anc_VP_order	nomn	erg-abs	12	1200	0.925833	0	0.000000
4_7_anc_VP_order	nomn	nom-acc	12	1200	0.991667	0	0.000000
4_7_anc_VP_order	poss-acc	erg-abs	12	1200	0.803333	122	0.101667
4_7_anc_VP_order	poss-acc	nom-acc	12	1200	0.905000	0	0.000000
4_7_anc_VP_order	sent	erg-abs	12	1200	0.958333	10	0.008333
4_7_anc_VP_order	sent	nom-acc	12	1200	0.940833	0	0.000000
5_1_anc_ext_S_marker	erg-poss	erg-abs	12	1200	0.650000	0	0.000000
5_1_anc_ext_S_marker	erg-poss	nom-acc	12	1200	0.683333	0	0.000000
5_1_anc_ext_S_marker	nomn	erg-abs	12	1200	0.641667	0	0.000000
5_1_anc_ext_S_marker	nomn	nom-acc	12	1200	0.688333	0	0.000000
5_1_anc_ext_S_marker	poss-acc	erg-abs	12	1200	0.602500	102	0.085000
5_1_anc_ext_S_marker	poss-acc	nom-acc	12	1200	0.625833	0	0.000000
5_1_anc_ext_S_marker	sent	erg-abs	12	1200	0.632500	192	0.160000
5_1_anc_ext_S_marker	sent	nom-acc	12	1200	0.495000	388	0.323333
5_2_anc_ext_A_marker	erg-poss	erg-abs	12	1200	0.990833	200	0.166667
5_2_anc_ext_A_marker	erg-poss	nom-acc	12	1200	0.720000	0	0.000000
5_2_anc_ext_A_marker	nomn	erg-abs	12	1200	0.998333	200	0.166667
5_2_anc_ext_A_marker	nomn	nom-acc	12	1200	0.730000	0	0.000000
5_2_anc_ext_A_marker	poss-acc	erg-abs	12	1200	0.996667	200	0.166667
5_2_anc_ext_A_marker	poss-acc	nom-acc	12	1200	0.645833	0	0.000000
5_2_anc_ext_A_marker	sent	erg-abs	12	1200	0.969167	272	0.226667
5_2_anc_ext_A_marker	sent	nom-acc	12	1200	0.510833	240	0.200000
5_3_anc_ext_P_marker	erg-poss	erg-abs	12	1200	0.780000	0	0.000000
5_3_anc_ext_P_marker	erg-poss	nom-acc	12	1200	0.964167	204	0.170000
5_3_anc_ext_P_marker	nomn	erg-abs	12	1200	0.830833	4	0.003333
5_3_anc_ext_P_marker	nomn	nom-acc	12	1200	0.997500	204	0.170000
5_3_anc_ext_P_marker	poss-acc	erg-abs	12	1200	0.810000	118	0.098333
5_3_anc_ext_P_marker	poss-acc	nom-acc	12	1200	0.979167	242	0.201667
5_3_anc_ext_P_marker	sent	erg-abs	12	1200	0.899167	78	0.065000
5_3_anc_ext_P_marker	sent	nom-acc	12	1200	0.961667	582	0.485000
5_4_anc_ext_gen_marker	erg-poss	erg-abs	12	768	0.789062	4	0.005208
5_4_anc_ext_gen_marker	erg-poss	nom-acc	12	768	0.984375	0	0.000000
5_4_anc_ext_gen_marker	nomn	erg-abs	12	768	0.713542	4	0.005208
5_4_anc_ext_gen_marker	nomn	nom-acc	12	768	0.921875	0	0.000000
5_4_anc_ext_gen_marker	poss-acc	erg-abs	12	768	0.740885	4	0.005208
5_4_anc_ext_gen_marker	poss-acc	nom-acc	12	768	0.761719	0	0.000000
5_4_anc_ext_gen_marker	sent	erg-abs	12	768	0.709635	82	0.106771
5_4_anc_ext_gen_marker	sent	nom-acc	12	768	0.811198	120	0.156250
6_1_anc_omit_S	erg-poss	erg-abs	12	1032	0.972868	216	0.209302
6_1_anc_omit_S	erg-poss	nom-acc	12	1032	1.000000	14	0.013566
6_1_anc_omit_S	nomn	erg-abs	12	1032	0.968023	216	0.209302
6_1_anc_omit_S	nomn	nom-acc	12	1032	0.999031	14	0.013566
6_1_anc_omit_S	poss-acc	erg-abs	12	1032	0.970930	216	0.209302
6_1_anc_omit_S	poss-acc	nom-acc	12	1032	0.999031	14	0.013566
6_1_anc_omit_S	sent	erg-abs	12	1032	0.965116	216	0.209302
6_1_anc_omit_S	sent	nom-acc	12	1032	0.997093	14	0.013566
6_2_anc_omit_A	erg-poss	erg-abs	12	1200	0.834167	309	0.257500
6_2_anc_omit_A	erg-poss	nom-acc	12	1200	0.870000	2	0.001667
6_2_anc_omit_A	nomn	erg-abs	12	1200	0.709167	406	0.338333
6_2_anc_omit_A	nomn	nom-acc	12	1200	0.810000	6	0.005000
6_2_anc_omit_A	poss-acc	erg-abs	12	1200	0.539167	406	0.338333
6_2_anc_omit_A	poss-acc	nom-acc	12	1200	0.805833	6	0.005000
6_2_anc_omit_A	sent	erg-abs	12	1200	0.570833	406	0.338333
6_2_anc_omit_A	sent	nom-acc	12	1200	0.820833	6	0.005000
6_3_anc_omit_P	erg-poss	erg-abs	12	1200	0.526667	0	0.000000
6_3_anc_omit_P	erg-poss	nom-acc	12	1200	0.905000	400	0.333333
6_3_anc_omit_P	nomn	erg-abs	12	1200	0.806667	0	0.000000
6_3_anc_omit_P	nomn	nom-acc	12	1200	0.980000	300	0.250000
6_3_anc_omit_P	poss-acc	erg-abs	12	1200	0.809167	0	0.000000
6_3_anc_omit_P	poss-acc	nom-acc	12	1200	0.985000	300	0.250000
6_3_anc_omit_P	sent	erg-abs	12	1200	0.735833	0	0.000000
6_3_anc_omit_P	sent	nom-acc	12	1200	0.876667	600	0.500000
6_4_anc_omit_A_P	erg-poss	erg-abs	12	1200	0.838333	614	0.511667
6_4_anc_omit_A_P	erg-poss	nom-acc	12	1200	0.970000	4	0.003333
6_4_anc_omit_A_P	nomn	erg-abs	12	1200	0.841667	614	0.511667
6_4_anc_omit_A_P	nomn	nom-acc	12	1200	0.966667	4	0.003333
6_4_anc_omit_A_P	poss-acc	erg-abs	12	1200	0.854167	614	0.511667
6_4_anc_omit_A_P	poss-acc	nom-acc	12	1200	0.965833	4	0.003333
6_4_anc_omit_A_P	sent	erg-abs	12	1200	0.857500	614	0.511667
6_4_anc_omit_A_P	sent	nom-acc	12	1200	0.970833	4	0.003333
