phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_pairs	accuracy_strict	mean_delta_good_minus_bad	bad_parse	bad_skip	bad_parse_rate	accuracy_when_bad_parse	accuracy_when_bad_skip
1_10_tran_V_valency	69_vos_gn_ac_d_pa	vos	gn	nom-acc	deranking	poss-acc	svo				100	0.710000	0.363762	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	70_vos_gn_ac_d_ep	vos	gn	nom-acc	deranking	erg-poss	sov				100	0.740000	0.356682	94	6	0.940000	0.723404	1.000000
1_10_tran_V_valency	71_vos_gn_ac_d_no	vos	gn	nom-acc	deranking	nomn	svo				100	0.700000	0.352641	94	6	0.940000	0.680851	1.000000
1_10_tran_V_valency	72_vos_gn_er_b_se	vos	gn	erg-abs	balancing	sent	vos				100	0.720000	0.390074	94	6	0.940000	0.702128	1.000000
1_10_tran_V_valency	73_vos_gn_er_b_pa	vos	gn	erg-abs	balancing	poss-acc	svo				100	0.710000	0.374924	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	74_vos_gn_er_b_ep	vos	gn	erg-abs	balancing	erg-poss	sov				100	0.740000	0.402285	94	6	0.940000	0.723404	1.000000
1_10_tran_V_valency	75_vos_gn_er_b_no	vos	gn	erg-abs	balancing	nomn	svo				100	0.750000	0.403291	94	6	0.940000	0.734043	1.000000
1_10_tran_V_valency	76_vos_gn_er_d_se	vos	gn	erg-abs	deranking	sent	vos				100	0.770000	0.443973	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	77_vos_gn_er_d_pa	vos	gn	erg-abs	deranking	poss-acc	svo				100	0.730000	0.400365	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	78_vos_gn_er_d_ep	vos	gn	erg-abs	deranking	erg-poss	sov				100	0.760000	0.400713	94	6	0.940000	0.744681	1.000000
1_10_tran_V_valency	79_vos_gn_er_d_no	vos	gn	erg-abs	deranking	nomn	svo				100	0.730000	0.373100	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	80_vos_ng_ac_b_se	vos	ng	nom-acc	balancing	sent	vos				100	0.730000	0.398698	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	81_vos_ng_ac_b_pa	vos	ng	nom-acc	balancing	poss-acc	vos				100	0.700000	0.341705	94	6	0.940000	0.680851	1.000000
1_10_tran_V_valency	82_vos_ng_ac_b_ep	vos	ng	nom-acc	balancing	erg-poss	vos				100	0.690000	0.351172	94	6	0.940000	0.670213	1.000000
1_10_tran_V_valency	83_vos_ng_ac_b_no	vos	ng	nom-acc	balancing	nomn	vos				100	0.720000	0.356802	94	6	0.940000	0.702128	1.000000
1_10_tran_V_valency	84_vos_ng_ac_d_se	vos	ng	nom-acc	deranking	sent	vos				100	0.710000	0.373088	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	85_vos_ng_ac_d_pa	vos	ng	nom-acc	deranking	poss-acc	vos				100	0.750000	0.425083	94	6	0.940000	0.734043	1.000000
1_10_tran_V_valency	86_vos_ng_ac_d_ep	vos	ng	nom-acc	deranking	erg-poss	vos				100	0.700000	0.356481	94	6	0.940000	0.680851	1.000000
1_10_tran_V_valency	87_vos_ng_ac_d_no	vos	ng	nom-acc	deranking	nomn	vos				100	0.730000	0.352395	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	88_vos_ng_er_b_se	vos	ng	erg-abs	balancing	sent	vos				100	0.740000	0.425453	94	6	0.940000	0.723404	1.000000
1_10_tran_V_valency	89_vos_ng_er_b_pa	vos	ng	erg-abs	balancing	poss-acc	vos				100	0.800000	0.458333	94	6	0.940000	0.787234	1.000000
1_10_tran_V_valency	90_vos_ng_er_b_ep	vos	ng	erg-abs	balancing	erg-poss	vos				100	0.790000	0.426262	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	91_vos_ng_er_b_no	vos	ng	erg-abs	balancing	nomn	vos				100	0.800000	0.447519	94	6	0.940000	0.787234	1.000000
1_10_tran_V_valency	92_vos_ng_er_d_se	vos	ng	erg-abs	deranking	sent	vos				100	0.770000	0.461415	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	93_vos_ng_er_d_pa	vos	ng	erg-abs	deranking	poss-acc	vos				100	0.790000	0.396918	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	94_vos_ng_er_d_ep	vos	ng	erg-abs	deranking	erg-poss	vos				100	0.790000	0.441441	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	95_vos_ng_er_d_no	vos	ng	erg-abs	deranking	nomn	vos				100	0.750000	0.411059	94	6	0.940000	0.734043	1.000000
1_1_intran_V_form	00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov				100	1.000000	3.183150	0	100	0.000000		1.000000
1_1_intran_V_form	01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov				100	1.000000	3.310772	0	100	0.000000		1.000000
1_1_intran_V_form	02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	sov				100	1.000000	3.255941	0	100	0.000000		1.000000
1_1_intran_V_form	03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	sov				100	1.000000	3.238346	0	100	0.000000		1.000000
1_1_intran_V_form	04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	sov				100	1.000000	2.740726	0	100	0.000000		1.000000
1_1_intran_V_form	05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	sov				100	1.000000	2.866817	0	100	0.000000		1.000000
1_1_intran_V_form	06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	sov				100	1.000000	2.646376	0	100	0.000000		1.000000
1_1_intran_V_form	07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	sov				100	1.000000	2.837290	0	100	0.000000		1.000000
1_1_intran_V_form	08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	sov				100	1.000000	3.218587	0	100	0.000000		1.000000
1_1_intran_V_form	09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	sov				100	1.000000	3.444392	0	100	0.000000		1.000000
1_1_intran_V_form	10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	sov				100	1.000000	3.386541	0	100	0.000000		1.000000
1_1_intran_V_form	11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	sov				100	1.000000	3.434640	0	100	0.000000		1.000000
1_1_intran_V_form	12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	sov				100	1.000000	2.795577	0	100	0.000000		1.000000
1_1_intran_V_form	13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	sov				100	1.000000	3.278663	0	100	0.000000		1.000000
1_1_intran_V_form	14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	sov				100	1.000000	2.622685	0	100	0.000000		1.000000
1_1_intran_V_form	15_sov_gn_er_d_no	sov	gn	erg-abs	deranking	nomn	sov				100	1.000000	2.741515	0	100	0.000000		1.000000
1_1_intran_V_form	16_sov_ng_ac_b_se	sov	ng	nom-acc	balancing	sent	sov				100	1.000000	3.062298	0	100	0.000000		1.000000
1_1_intran_V_form	17_sov_ng_ac_b_pa	sov	ng	nom-acc	balancing	poss-acc	ovs				100	1.000000	3.212066	0	100	0.000000		1.000000
1_1_intran_V_form	18_sov_ng_ac_b_ep	sov	ng	nom-acc	balancing	erg-poss	vos				100	1.000000	3.327559	0	100	0.000000		1.000000
1_1_intran_V_form	19_sov_ng_ac_b_no	sov	ng	nom-acc	balancing	nomn	ovs				100	1.000000	3.217309	0	100	0.000000		1.000000
1_1_intran_V_form	20_sov_ng_ac_d_se	sov	ng	nom-acc	deranking	sent	sov				100	1.000000	2.667813	0	100	0.000000		1.000000
1_1_intran_V_form	21_sov_ng_ac_d_pa	sov	ng	nom-acc	deranking	poss-acc	ovs				100	1.000000	2.515416	0	100	0.000000		1.000000
1_1_intran_V_form	22_sov_ng_ac_d_ep	sov	ng	nom-acc	deranking	erg-poss	vos				100	1.000000	2.998173	0	100	0.000000		1.000000
1_1_intran_V_form	23_sov_ng_ac_d_no	sov	ng	nom-acc	deranking	nomn	ovs				100	1.000000	2.678894	0	100	0.000000		1.000000
1_1_intran_V_form	24_sov_ng_er_b_se	sov	ng	erg-abs	balancing	sent	sov				100	1.000000	3.129581	0	100	0.000000		1.000000
1_1_intran_V_form	25_sov_ng_er_b_pa	sov	ng	erg-abs	balancing	poss-acc	ovs				100	1.000000	3.060013	0	100	0.000000		1.000000
1_1_intran_V_form	26_sov_ng_er_b_ep	sov	ng	erg-abs	balancing	erg-poss	vos				100	1.000000	3.146710	0	100	0.000000		1.000000
1_1_intran_V_form	27_sov_ng_er_b_no	sov	ng	erg-abs	balancing	nomn	ovs				100	1.000000	3.423312	0	100	0.000000		1.000000
1_1_intran_V_form	28_sov_ng_er_d_se	sov	ng	erg-abs	deranking	sent	sov				100	1.000000	3.215112	0	100	0.000000		1.000000
1_1_intran_V_form	29_sov_ng_er_d_pa	sov	ng	erg-abs	deranking	poss-acc	ovs				100	1.000000	2.931368	0	100	0.000000		1.000000
1_1_intran_V_form	30_sov_ng_er_d_ep	sov	ng	erg-abs	deranking	erg-poss	vos				100	1.000000	2.723470	0	100	0.000000		1.000000
1_1_intran_V_form	31_sov_ng_er_d_no	sov	ng	erg-abs	deranking	nomn	ovs				100	1.000000	3.015785	0	100	0.000000		1.000000
1_1_intran_V_form	32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo				100	1.000000	3.504182	0	100	0.000000		1.000000
1_1_intran_V_form	33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo				100	1.000000	3.878381	0	100	0.000000		1.000000
1_1_intran_V_form	34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov				100	1.000000	3.604661	0	100	0.000000		1.000000
1_1_intran_V_form	35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo				100	1.000000	3.733757	0	100	0.000000		1.000000
1_1_intran_V_form	36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo				100	0.950000	1.174863	0	100	0.000000		0.950000
1_1_intran_V_form	37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo				100	0.980000	1.277332	0	100	0.000000		0.980000
1_1_intran_V_form	38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov				100	0.950000	1.154605	0	100	0.000000		0.950000
1_1_intran_V_form	39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo				100	0.950000	1.125948	0	100	0.000000		0.950000
1_1_intran_V_form	40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo				100	1.000000	2.994351	0	100	0.000000		1.000000
1_1_intran_V_form	41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo				100	1.000000	3.275519	0	100	0.000000		1.000000
1_1_intran_V_form	42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov				100	1.000000	3.131496	0	100	0.000000		1.000000
1_1_intran_V_form	43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo				100	1.000000	3.390838	0	100	0.000000		1.000000
1_1_intran_V_form	44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo				100	0.950000	1.380456	0	100	0.000000		0.950000
1_1_intran_V_form	45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo				100	0.960000	1.432790	0	100	0.000000		0.960000
1_1_intran_V_form	46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov				100	0.960000	1.323088	0	100	0.000000		0.960000
1_1_intran_V_form	47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo				100	0.970000	1.470969	0	100	0.000000		0.970000
1_1_intran_V_form	48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo				100	1.000000	3.401837	0	100	0.000000		1.000000
