phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos				1	100	0.700000	0.940000	0.042000
1_10_tran_V_valency	64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos				1	100	0.720000	0.940000	0.043200
1_10_tran_V_valency	65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo				1	100	0.690000	0.940000	0.041400
1_10_tran_V_valency	66_vos_gn_ac_b_ep	vos	gn	nom-acc	balancing	erg-poss	sov				1	100	0.680000	0.940000	0.040800
1_10_tran_V_valency	67_vos_gn_ac_b_no	vos	gn	nom-acc	balancing	nomn	svo				1	100	0.690000	0.940000	0.041400
1_10_tran_V_valency	68_vos_gn_ac_d_se	vos	gn	nom-acc	deranking	sent	vos				1	100	0.670000	0.940000	0.040200
1_10_tran_V_valency	69_vos_gn_ac_d_pa	vos	gn	nom-acc	deranking	poss-acc	svo				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	70_vos_gn_ac_d_ep	vos	gn	nom-acc	deranking	erg-poss	sov				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	71_vos_gn_ac_d_no	vos	gn	nom-acc	deranking	nomn	svo				1	100	0.700000	0.940000	0.042000
1_10_tran_V_valency	72_vos_gn_er_b_se	vos	gn	erg-abs	balancing	sent	vos				1	100	0.720000	0.940000	0.043200
1_10_tran_V_valency	73_vos_gn_er_b_pa	vos	gn	erg-abs	balancing	poss-acc	svo				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	74_vos_gn_er_b_ep	vos	gn	erg-abs	balancing	erg-poss	sov				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	75_vos_gn_er_b_no	vos	gn	erg-abs	balancing	nomn	svo				1	100	0.750000	0.940000	0.045000
1_10_tran_V_valency	76_vos_gn_er_d_se	vos	gn	erg-abs	deranking	sent	vos				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	77_vos_gn_er_d_pa	vos	gn	erg-abs	deranking	poss-acc	svo				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	78_vos_gn_er_d_ep	vos	gn	erg-abs	deranking	erg-poss	sov				1	100	0.760000	0.940000	0.045600
1_10_tran_V_valency	79_vos_gn_er_d_no	vos	gn	erg-abs	deranking	nomn	svo				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	80_vos_ng_ac_b_se	vos	ng	nom-acc	balancing	sent	vos				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	81_vos_ng_ac_b_pa	vos	ng	nom-acc	balancing	poss-acc	vos				1	100	0.700000	0.940000	0.042000
1_10_tran_V_valency	82_vos_ng_ac_b_ep	vos	ng	nom-acc	balancing	erg-poss	vos				1	100	0.690000	0.940000	0.041400
1_10_tran_V_valency	83_vos_ng_ac_b_no	vos	ng	nom-acc	balancing	nomn	vos				1	100	0.720000	0.940000	0.043200
1_10_tran_V_valency	84_vos_ng_ac_d_se	vos	ng	nom-acc	deranking	sent	vos				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	85_vos_ng_ac_d_pa	vos	ng	nom-acc	deranking	poss-acc	vos				1	100	0.750000	0.940000	0.045000
1_10_tran_V_valency	86_vos_ng_ac_d_ep	vos	ng	nom-acc	deranking	erg-poss	vos				1	100	0.700000	0.940000	0.042000
1_10_tran_V_valency	87_vos_ng_ac_d_no	vos	ng	nom-acc	deranking	nomn	vos				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	88_vos_ng_er_b_se	vos	ng	erg-abs	balancing	sent	vos				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	89_vos_ng_er_b_pa	vos	ng	erg-abs	balancing	poss-acc	vos				1	100	0.800000	0.940000	0.048000
1_10_tran_V_valency	90_vos_ng_er_b_ep	vos	ng	erg-abs	balancing	erg-poss	vos				1	100	0.790000	0.940000	0.047400
