phenomenon	strategy	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
5_2_anc_ext_A_marker	sent	erg-abs	12	1200	0.969167	0.226667	0.749489
5_2_anc_ext_A_marker	sent	nom-acc	12	1200	0.510833	0.200000	0.408667
5_3_anc_ext_P_marker	erg-poss	erg-abs	12	1200	0.780000	0.000000	0.780000
5_3_anc_ext_P_marker	erg-poss	nom-acc	12	1200	0.964167	0.170000	0.800258
5_3_anc_ext_P_marker	nomn	erg-abs	12	1200	0.830833	0.003333	0.828064
5_3_anc_ext_P_marker	nomn	nom-acc	12	1200	0.997500	0.170000	0.827925
5_3_anc_ext_P_marker	poss-acc	erg-abs	12	1200	0.810000	0.098333	0.730350
5_3_anc_ext_P_marker	poss-acc	nom-acc	12	1200	0.979167	0.201667	0.781701
5_3_anc_ext_P_marker	sent	erg-abs	12	1200	0.899167	0.065000	0.840721
5_3_anc_ext_P_marker	sent	nom-acc	12	1200	0.961667	0.485000	0.495258
5_4_anc_ext_gen_marker	erg-poss	erg-abs	12	768	0.789062	0.005208	0.784953
5_4_anc_ext_gen_marker	erg-poss	nom-acc	12	768	0.984375	0.000000	0.984375
5_4_anc_ext_gen_marker	nomn	erg-abs	12	768	0.713542	0.005208	0.709825
5_4_anc_ext_gen_marker	nomn	nom-acc	12	768	0.921875	0.000000	0.921875
5_4_anc_ext_gen_marker	poss-acc	erg-abs	12	768	0.740885	0.005208	0.737027
5_4_anc_ext_gen_marker	poss-acc	nom-acc	12	768	0.761719	0.000000	0.761719
5_4_anc_ext_gen_marker	sent	erg-abs	12	768	0.709635	0.106771	0.633867
5_4_anc_ext_gen_marker	sent	nom-acc	12	768	0.811198	0.156250	0.684448
6_1_anc_omit_S	erg-poss	erg-abs	12	1032	0.972868	0.209302	0.769245
6_1_anc_omit_S	erg-poss	nom-acc	12	1032	1.000000	0.013566	0.986434
6_1_anc_omit_S	nomn	erg-abs	12	1032	0.968023	0.209302	0.765414
6_1_anc_omit_S	nomn	nom-acc	12	1032	0.999031	0.013566	0.985478
6_1_anc_omit_S	poss-acc	erg-abs	12	1032	0.970930	0.209302	0.767712
6_1_anc_omit_S	poss-acc	nom-acc	12	1032	0.999031	0.013566	0.985478
6_1_anc_omit_S	sent	erg-abs	12	1032	0.965116	0.209302	0.763115
6_1_anc_omit_S	sent	nom-acc	12	1032	0.997093	0.013566	0.983567
6_2_anc_omit_A	erg-poss	erg-abs	12	1200	0.834167	0.257500	0.619369
6_2_anc_omit_A	erg-poss	nom-acc	12	1200	0.870000	0.001667	0.868550
6_2_anc_omit_A	nomn	erg-abs	12	1200	0.709167	0.338333	0.469232
6_2_anc_omit_A	nomn	nom-acc	12	1200	0.810000	0.005000	0.805950
6_2_anc_omit_A	poss-acc	erg-abs	12	1200	0.539167	0.338333	0.356749
