model_id	id	language	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo	overall_n_items	overall_accuracy_tie_ok	top_x_anc__iv_none_n_items	top_x_anc__iv_none_accuracy_tie_ok	top_x_anc__tv_arg_n_items	top_x_anc__tv_arg_accuracy_tie_ok	top_x_anc__iv_arg_n_items	top_x_anc__iv_arg_accuracy_tie_ok	top_x_anc__cv_bare_n_items	top_x_anc__cv_bare_accuracy_tie_ok	anc_bucket__none_n_items	anc_bucket__none_accuracy_tie_ok	anc_bucket__bare_n_items	anc_bucket__bare_accuracy_tie_ok	anc_bucket__arg_n_items	anc_bucket__arg_accuracy_tie_ok	complexity_bucket__iv_plain_n_items	complexity_bucket__iv_plain_accuracy_tie_ok	complexity_bucket__anc_bare_n_items	complexity_bucket__anc_bare_accuracy_tie_ok	complexity_bucket__anc_overt_arg_n_items	complexity_bucket__anc_overt_arg_accuracy_tie_ok	top_construction__tv_n_items	top_construction__tv_accuracy_tie_ok	top_construction__iv_n_items	top_construction__iv_accuracy_tie_ok	top_construction__cv_n_items	top_construction__cv_accuracy_tie_ok	top_construction__cop_n_n_items	top_construction__cop_n_accuracy_tie_ok	bare_minus_arg_accuracy	arg_minus_bare_accuracy
38_svo_gn_ac_d_ep	38	38_svo_gn_ac_d_ep	svo	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	222811	0.9950361517160283	48526	0.9984956518155216	943	0.936373276776246	59	0.864406779661017	1175	0.9582978723404255	214145	0.9958112493870975	6966	0.9883720930232558	1700	0.9247058823529412	43682	0.9983746165468614	6966	0.9883720930232558	1700	0.9247058823529412	98400	0.9977947154471545	49009	0.99822481585015	36439	0.979060896292434	38963	0.9989990503811308	0.06366621067031464	-0.06366621067031464
39_svo_gn_ac_d_no	39	39_svo_gn_ac_d_no	svo	gn	nom-acc	ac	deranking	d	nomn	no	svo	222811	0.9938019218081693	48526	0.9982277541936282	943	0.8345705196182397	59	0.7627118644067796	1175	0.9472340425531914	214145	0.99557776273086	6966	0.9829170255526845	1700	0.8147058823529412	43682	0.9980999038505562	6966	0.9829170255526845	1700	0.8147058823529412	98400	0.9965548780487805	49009	0.9977759187088086	36439	0.9773594225966684	38963	0.9972281395169776	0.16821114319974328	-0.16821114319974328
40_svo_gn_er_b_se	40	40_svo_gn_er_b_se	svo	gn	erg-abs	er	balancing	b	sent	se	svo	222811	0.9935999569141559	48526	0.9964555083872563	943	0.3860021208907741	59	0.13559322033898305	1175	0.9914893617021276	214145	0.9983375750075884	6966	0.9945449325294287	1700	0.39294117647058824	43682	0.9962684858751889	6966	0.9945449325294287	1700	0.39294117647058824	98400	0.9934044715447155	49009	0.995388602093493	36439	0.9921512665001784	38963	0.9931986756666581	0.6016037560588404	-0.6016037560588404
41_svo_gn_er_b_pa	41	41_svo_gn_er_b_pa	svo	gn	erg-abs	er	balancing	b	poss-acc	pa	svo	222811	0.9966069897805764	48526	0.997135556196678	943	0.7529162248144221	59	0.7288135593220338	1175	0.9931914893617021	214145	0.9986737957925704	6966	0.994257823715188	1700	0.7458823529411764	43682	0.9969552676159517	6966	0.994257823715188	1700	0.7458823529411764	98400	0.9969207317073171	49009	0.9967352935175172	36439	0.995828645132962	38963	0.9963811821471653	0.24837547077401156	-0.24837547077401156
42_svo_gn_er_b_ep	42	42_svo_gn_er_b_ep	svo	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	222811	0.9981329467575658	48526	0.9966203684622676	943	0.95864262990456	59	0.9322033898305084	1175	0.9965957446808511	214145	0.9984963459338299	6966	0.9984209015216767	1700	0.9511764705882353	43682	0.9964516276727257	6966	0.9984209015216767	1700	0.9511764705882353	98400	0.9990142276422764	49009	0.9965108449468465	36439	0.9968165976014709	38963	0.9991787080050304	0.04724443093344144	-0.04724443093344144
43_svo_gn_er_b_no	43	43_svo_gn_er_b_no	svo	gn	erg-abs	er	balancing	b	nomn	no	svo	222811	0.9973654801603152	48526	0.9962082182747393	943	0.8727465535524921	59	0.8135593220338984	1175	0.9940425531914894	214145	0.9984029512713348	6966	0.9951191501579099	1700	0.8758823529411764	43682	0.9960166659035758	6966	0.9951191501579099	1700	0.8758823529411764	98400	0.9980894308943089	49009	0.9959599257279276	36439	0.9962951782430912	38963	0.9983060852603752	0.11923679721673341	-0.11923679721673341
44_svo_gn_er_d_se	44	44_svo_gn_er_d_se	svo	gn	erg-abs	er	deranking	d	sent	se	svo	222811	0.9916117247353138	48526	0.9969706961216668	943	0.3297985153764581	59	0.05084745762711865	1175	0.9787234042553191	214145	0.9968105722757944	6966	0.9906689635371806	1700	0.34058823529411764	43682	0.9968408039924912	6966	0.9906689635371806	1700	0.34058823529411764	98400	0.9923983739837399	49009	0.9956742639107102	36439	0.983232251159472	38963	0.9923517182968458	0.650080728243063	-0.650080728243063
45_svo_gn_er_d_pa	45	45_svo_gn_er_d_pa	svo	gn	erg-abs	er	deranking	d	poss-acc	pa	svo	222811	0.9946322219280017	48526	0.9967440135185262	943	0.6998939554612937	59	0.6779661016949152	1175	0.9787234042553191	214145	0.9972682061220202	6966	0.988946310651737	1700	0.6858823529411765	43682	0.9967034476443386	6966	0.988946310651737	1700	0.6858823529411765	98400	0.9960467479674797	49009	0.9962455875451448	36439	0.9886385466121463	38963	0.9946359366578549	0.3030639577105605	-0.3030639577105605
46_svo_gn_er_d_ep	46	46_svo_gn_er_d_ep	svo	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	222811	0.9961536907962354	48526	0.9962700408028685	943	0.9374337221633086	59	0.9491525423728814	1175	0.971063829787234	214145	0.9968432604076677	6966	0.9922480620155039	1700	0.9252941176470588	43682	0.9961769149764205	6966	0.9922480620155039	1700	0.9252941176470588	98400	0.9985365853658537	49009	0.995980330143443	36439	0.9869096297922556	38963	0.9989990503811308	0.06695394436844504	-0.06695394436844504
47_svo_gn_er_d_no	47	47_svo_gn_er_d_no	svo	gn	erg-abs	er	deranking	d	nomn	no	svo	222811	0.9948252106045034	48526	0.9955899929934469	943	0.7879109225874867	59	0.7627118644067796	1175	0.9582978723404255	214145	0.9968012328095449	6966	0.986075222509331	1700	0.7817647058823529	43682	0.9953756696121973	6966	0.986075222509331	1700	0.7817647058823529	98400	0.9969817073170731	49009	0.9951233446917913	36439	0.9864430966821263	38963	0.9968431588943356	0.20431051662697808	-0.20431051662697808
48_svo_ng_ac_b_se	48	48_svo_ng_ac_b_se	svo	ng	nom-acc	ac	balancing	b	sent	se	svo	222811	0.9968403714358807	48526	0.9989490170218027	943	0.7476139978791092	59	0.3559322033898305	1175	0.9914893617021276	214145	0.9989353008475566	6966	0.9969853574504737	1700	0.7323529411764705	43682	0.9988782564900874	6966	0.9969853574504737	1700	0.7323529411764705	98400	0.9971646341463415	49009	0.9981840070191189	36439	0.9939899558165701	38963	0.9969971511433925	0.26463241627400313	-0.26463241627400313
49_svo_ng_ac_b_pa	49	49_svo_ng_ac_b_pa	svo	ng	nom-acc	ac	balancing	b	poss-acc	pa	vos	222811	0.9983887689566494	48526	0.9990520545686848	943	0.9342523860021209	59	0.9322033898305084	1175	0.9923404255319149	214145	0.9990380349763011	6966	0.9955498133792707	1700	0.928235294117647	43682	0.99901561283824	6966	0.9955498133792707	1700	0.928235294117647	98400	0.9988719512195122	49009	0.9989185659776776	36439	0.995718872636461	38963	0.9989990503811308	0.06731451926162368	-0.06731451926162368
50_svo_ng_ac_b_ep	50	50_svo_ng_ac_b_ep	svo	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	222811	0.9988914371373047	48526	0.9989902320405556	943	0.95864262990456	59	0.9491525423728814	1175	0.9948936170212765	214145	0.9992435032337902	6966	0.9984209015216767	1700	0.9564705882352941	43682	0.9989698273888559	6966	0.9984209015216767	1700	0.9564705882352941	98400	0.999339430894309	49009	0.9989185659776776	36439	0.9970361425944729	38963	0.9994610271283012	0.04195031328638266	-0.04195031328638266
51_svo_ng_ac_b_no	51	51_svo_ng_ac_b_no	svo	ng	nom-acc	ac	balancing	b	nomn	no	vos	222811	0.9986760079170238	48526	0.9988253719655442	943	0.9427359490986215	59	0.8305084745762712	1175	0.9957446808510638	214145	0.9992108151019169	6966	0.9977031294860752	1700	0.9352941176470588	43682	0.9987180074172428	6966	0.9977031294860752	1700	0.9352941176470588	98400	0.9990853658536586	49009	0.9985716909139137	36439	0.9972282444633497	38963	0.9991273772553448	0.06240901183901637	-0.06240901183901637
52_svo_ng_ac_d_se	52	52_svo_ng_ac_d_se	svo	ng	nom-acc	ac	deranking	d	sent	se	svo	222811	0.9957093680294061	48526	0.99890780200305	943	0.767762460233298	59	0.2711864406779661	1175	0.9642553191489361	214145	0.9979079595601111	6966	0.9898076370944588	1700	0.7429411764705882	43682	0.9988324710407033	6966	0.9898076370944588	1700	0.7429411764705882	98400	0.9970833333333333	49009	0.9978575363708706	36439	0.9875682647712616	38963	0.9971511433924493	0.24686646062387063	-0.24686646062387063
53_svo_ng_ac_d_pa	53	53_svo_ng_ac_d_pa	svo	ng	nom-acc	ac	deranking	d	poss-acc	pa	vos	222811	0.9955029150266369	48526	0.9985574743436508	943	0.8928950159066809	59	0.7966101694915254	1175	0.9617021276595744	214145	0.9967918933432954	6966	0.986505885730692	1700	0.87	43682	0.9984432947209377	6966	0.986505885730692	1700	0.87	98400	0.9976524390243903	49009	0.9981431981880879	36439	0.9834792392765992	38963	0.9979981007622616	0.11650588573069198	-0.11650588573069198
54_svo_ng_ac_d_ep	54	54_svo_ng_ac_d_ep	svo	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos	222811	0.9974372899004089	48526	0.99890780200305	943	0.953340402969247	59	0.9322033898305084	1175	0.971063829787234	214145	0.9980200331551052	6966	0.9922480620155039	1700	0.9452941176470588	43682	0.9988553637653954	6966	0.9922480620155039	1700	0.9452941176470588	98400	0.9991869918699187	49009	0.9986737129914913	36439	0.9891325228464009	38963	0.999230038754716	0.04695394436844502	-0.04695394436844502
55_svo_ng_ac_d_no	55	55_svo_ng_ac_d_no	svo	ng	nom-acc	ac	deranking	d	nomn	no	vos	222811	0.9968179308921014	48526	0.9986399043811565	943	0.9384941675503712	59	0.9152542372881356	1175	0.9693617021276596	214145	0.9975810782413785	6966	0.9909560723514211	1700	0.9247058823529412	43682	0.9986264365184744	6966	0.9909560723514211	1700	0.9247058823529412	98400	0.998770325203252	49009	0.9983676467587586	36439	0.9874584922747606	38963	0.9986910658830173	0.06625018999847998	-0.06625018999847998
