model_id	id	language	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo	group	min_items	weakest_label	weakest_n_items	weakest_accuracy_tie_ok	strongest_label	strongest_n_items	strongest_accuracy_tie_ok	accuracy_range
13_sov_gn_er_d_pa	13	13_sov_gn_er_d_pa	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	top_construction	20	cop_n	38963	0.990657803557221	iv	49009	0.9981227937725724	0.007464990215351408
13_sov_gn_er_d_pa	13	13_sov_gn_er_d_pa	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	anc_bucket	20	arg	1700	0.6858823529411765	none	214145	0.9964883606901865	0.31060600774901004
13_sov_gn_er_d_pa	13	13_sov_gn_er_d_pa	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	top_x_anc	20	cop_n|arg	439	0.6059225512528473	iv|none	48526	0.9984750443061452	0.39255249305329787
13_sov_gn_er_d_pa	13	13_sov_gn_er_d_pa	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	complexity_bucket	20	anc_overt_arg	1700	0.6858823529411765	iv_plain	43682	0.9983975092715535	0.31251515633037696
13_sov_gn_er_d_pa	13	13_sov_gn_er_d_pa	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	construction_detail	20	tv_pp+particle	1742	0.9890929965556832	tv_indirect_obj	73	1.0	0.010907003444316832
13_sov_gn_er_d_pa	13	13_sov_gn_er_d_pa	sov	gn	erg-abs	er	deranking	d	poss-acc	pa	sov	detail_x_anc	20	cop_n|arg	439	0.6059225512528473	cv_depth2plus|bare	125	1.0	0.39407744874715267
14_sov_gn_er_d_ep	14	14_sov_gn_er_d_ep	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	top_construction	20	cop_n	38963	0.9942766214100557	iv	49009	0.9985308820828828	0.0042542606728270815
14_sov_gn_er_d_ep	14	14_sov_gn_er_d_ep	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	anc_bucket	20	arg	1700	0.8647058823529412	none	214145	0.996591094818931	0.13188521246598983
14_sov_gn_er_d_ep	14	14_sov_gn_er_d_ep	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	top_x_anc	20	iv|arg	59	0.7627118644067796	iv|bare	424	1.0	0.23728813559322037
14_sov_gn_er_d_ep	14	14_sov_gn_er_d_ep	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	complexity_bucket	20	anc_overt_arg	1700	0.8647058823529412	iv_plain	43682	0.9987409001419348	0.13403501778899363
14_sov_gn_er_d_ep	14	14_sov_gn_er_d_ep	sov	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	construction_detail	20	tv_pp+particle	1742	0.9890929965556832	tv_indirect_obj	73	1.0	0.010907003444316832
