model_id	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo	0.9916117247353138	1.3464326267554115e-05	0.993689719089273	0.992869509895121	1.0849823392920457	6.77561700275121	24.497444022063544	24.477283437532257	1.0
45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo	0.9946322219280017	1.7952435023405486e-05	0.9970692649824291	0.9956436494519011	1.0539829721153804	6.77561700275121	24.50678377638447	24.474379631167224	1.0
46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov	0.9961536907962354	0.00028723896037448777	0.9967057281732051	0.9965508293390467	1.0540817105080091	6.77561700275121	24.49065351351594	24.465636795310825	1.0
47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo	0.9948252106045034	4.0392978802662344e-05	0.9962838459501551	0.9955609271460757	1.0634932745690293	6.77561700275121	24.49596294617411	24.464887281148595	1.0
48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo	0.9968403714358807	1.3464326267554115e-05	0.9974462661179205	0.9972764976859825	1.0339480546292599	6.77561700275121	24.497452998281055	24.493871487493884	1.0
49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos	0.9983887689566494	3.1416761290959606e-05	0.9989811993124217	0.9986739462973196	1.018118495047372	6.77561700275121	24.506788264493224	24.497524808021147	1.0
50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos	0.9988914371373047	0.0003590487004681097	0.9991696998801675	0.9990197659656944	1.0151653194860217	6.77561700275121	24.49057721566709	24.484289375300143	1.0
51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos	0.9986760079170238	6.283352258191921e-05	0.9991203306838531	0.99889103614529	1.0169201700095596	6.77561700275121	24.495958458065356	24.48659626320065	1.0
52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo	0.9957093680294061	1.3464326267554115e-05	0.9962748697326433	0.9962141189227401	1.0514830955383712	6.77561700275121	24.497452998281055	24.4920403391215	1.0
53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos	0.9955029150266369	3.1416761290959606e-05	0.996620454106844	0.9961306134096534	1.0527756708600562	6.77561700275121	24.506788264493224	24.491775540704904	1.0
54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos	0.9974372899004089	0.00034558437420055565	0.997886100775994	0.9977259965266873	1.0311295223305852	6.77561700275121	24.49057721566709	24.48290703780334	1.0
55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos	0.9968179308921014	5.834541382606783e-05	0.9975494926193051	0.9972406231024109	1.0379694000745026	6.77561700275121	24.495958458065356	24.484998496483566	1.0
56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo	0.9946681267980486	4.488108755851371e-06	0.9963960486690513	0.9955626804463849	1.0570707909394061	6.77561700275121	24.497444022063544	24.47195605243906	1.0
57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos	0.9960998334911652	2.692865253510823e-05	0.9984381381529637	0.9969780775498522	1.0377629470717333	6.77561700275121	24.506788264493224	24.473414687784715	1.0
58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos	0.9980207440386696	0.0003366081566888529	0.9984112095004286	0.9982134524134857	1.0359497511343694	6.77561700275121	24.49057721566709	24.467925730776308	1.0
59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos	0.9980611370174722	6.283352258191921e-05	0.9988330917234787	0.998392219679781	1.0269466049701317	6.77561700275121	24.495958458065356	24.477512331078806	1.0
60_svo_ng_er_d_se	svo	ng	erg-abs	deranking	sent	svo	0.9927068232717415	4.488108755851371e-06	0.9945289954266172	0.9937352485008863	1.0838468477768153	6.77561700275121	24.497399140975983	24.46461350651449	1.0
61_svo_ng_er_d_pa	svo	ng	erg-abs	deranking	poss-acc	vos	0.9944302570339885	1.7952435023405486e-05	0.9965306919317269	0.995319031230332	1.059786096736696	6.77561700275121	24.506788264493224	24.47199195730911	1.0
62_svo_ng_er_d_ep	svo	ng	erg-abs	deranking	erg-poss	vos	0.9955253555704162	0.00021991732903671723	0.9965441562579944	0.9960657224447463	1.0545125689485708	6.77561700275121	24.49057721566709	24.46933050881689	1.0
