model_id	subset	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_n_unique_sentences	mean_own_sentence_group_size	mean_max_languages_count	mean_score_gap	mean_score_gap_when_wrong
14_sov_gn_er_d_ep	all	sov	gn	erg-abs	deranking	erg-poss	sov	0.9954939388091252	0.0002737746341069337	0.9964409297566099	0.9960805062776075	1.0413309935326354	6.77561700275121	24.49057721566709	24.48512416352873	0.0015384717815996518	0.3414227451494024
14_sov_gn_er_d_ep	anc	sov	gn	erg-abs	deranking	erg-poss	sov	0.968382183244865	0.007039003000230787	0.9825755827371336	0.9742009967124394	1.1902838679898453	10.537387491345488	14.77844449573044	14.80440803138703	0.01137838846757443	0.35987268051094895
14_sov_gn_er_d_ep	non_anc	sov	gn	erg-abs	deranking	erg-poss	sov	0.996591094818931	0	0.9970020313339093	0.9969659242415653	1.0353031824231245	6.623386023488758	24.88360690186556	24.876882486165915	0.0011402709457143524	0.3344977009178082
15_sov_gn_er_d_no	all	sov	gn	erg-abs	deranking	nomn	sov	0.9948027700607242	4.0392978802662344e-05	0.9958664518358609	0.9954944156690648	1.0486421226959173	6.77561700275121	24.4959539699566	24.487076490837527	0.001666248264942036	0.32060314521588945
15_sov_gn_er_d_no	anc	sov	gn	erg-abs	deranking	nomn	sov	0.9656127394414955	0.0010385414262635588	0.9837295176552042	0.9729001100126933	1.1830140780060006	10.537387491345488	14.9166858989153	14.898915301177013	0.009939619442649435	0.2890494701006711
15_sov_gn_er_d_no	non_anc	sov	gn	erg-abs	deranking	nomn	sov	0.9959840295127134	0	0.9963576081626935	0.9964087599349506	1.0432043708702048	6.623386023488758	24.88360690186556	24.87508930864601	0.0013314422474024609	0.3315368605465116
16_sov_ng_ac_b_se	all	sov	ng	nom-acc	balancing	sent	sov	0.9917149512366984	0	0.9931735865823501	0.9927674306268093	1.0855209123427478	6.77561700275121	24.497524808021147	24.49243978080077	0.003141178388005978	0.37913818949620803
16_sov_ng_ac_b_se	anc	sov	ng	nom-acc	balancing	sent	sov	0.8818370643895684	0	0.9066466651280868	0.899042961115855	2.063351027002077	10.537387491345488	14.95522732517886	15.088506808216017	0.05659075960189245	0.4789214088964844
16_sov_ng_ac_b_se	non_anc	sov	ng	nom-acc	balancing	sent	sov	0.9961614793714539	0	0.9966751500151766	0.9965602637668869	1.045950173947559	6.623386023488758	24.883681617595556	24.872997268206124	0.000978185692404679	0.2548340329683698
17_sov_ng_ac_b_pa	all	sov	ng	nom-acc	balancing	poss-acc	ovs	0.9948611154745501	2.2440543779256858e-05	0.9961806194487705	0.9955644606388823	1.050248865630512	6.77561700275121	24.50686007423332	24.49557248071235	0.0014619876787052702	0.28449514120524017
