group	label	all_items	all_pct	evaluable_items	evaluable_pct	model_item_pairs	accuracy_tie_ok
detail_x_anc_subtype	iv_plain|ob_only	14	6.16045340937093e-05	13	5.834541382606783e-05	1248	0.29967948717948717
detail_x_anc_subtype	tv_pp+particle|ge_only	13	5.720421022987292e-05	12	5.385730507021646e-05	1152	0.7534722222222222
detail_x_anc_subtype	cop_n|ge_ob	8	3.5202590910691024e-05	8	3.590487004681097e-05	768	0.5963541666666666
detail_x_anc_subtype	tv_plain_obj|ge_ob	8	3.5202590910691024e-05	7	3.1416761290959606e-05	672	0.5818452380952381
detail_x_anc_subtype	tv_pp|ge_ob	8	3.5202590910691024e-05	8	3.590487004681097e-05	768	0.53515625
detail_x_anc_subtype	cv_depth1|ge_ob	6	2.640194318301827e-05	6	2.692865253510823e-05	576	0.6111111111111112
detail_x_anc_subtype	iv_particle|ge_only	6	2.640194318301827e-05	5	2.2440543779256858e-05	480	0.75
detail_x_anc_subtype	tv_particle|ob_only	6	2.640194318301827e-05	6	2.692865253510823e-05	576	0.734375
detail_x_anc_subtype	cv_depth2plus|ob_only	5	2.200161931918189e-05	5	2.2440543779256858e-05	480	0.7729166666666667
detail_x_anc_subtype	tv_pp+particle|ob_only	2	8.800647727672756e-06	2	8.976217511702743e-06	192	0.6458333333333334
detail_x_anc_subtype	cv_depth2plus|ge_ob	1	4.400323863836378e-06	1	4.488108755851371e-06	96	0.28125
detail_x_anc_subtype	iv_particle|ob_only	1	4.400323863836378e-06	1	4.488108755851371e-06	96	0.3125
top_construction	tv	100155	0.44071443658253245	98400	0.441629901575775	9446400	0.9953794037940379
top_construction	iv	49382	0.21729679304396804	49009	0.21995772201551989	4704864	0.997988039611772
top_construction	cop_n	40570	0.17852113915584186	38963	0.174870181454237	3740448	0.9951029930104629
top_construction	cv	37149	0.16346763121765762	36439	0.16354219495446815	3498144	0.9907791102939159
top_x_anc	tv|none	94913	0.4176479388883022	93568	0.41994336006750116	8982528	0.9977190162947447
top_x_anc	iv|none	48840	0.21491181750976873	48526	0.21778996548644367	4658496	0.9984780495679292
top_x_anc	cop_n|none	38538	0.16957968106452634	37046	0.1662664769692699	3556416	0.9975852093793302
top_x_anc	cv|none	35565	0.1564975182173408	35005	0.15710624699857728	3360480	0.992899228681617
top_x_anc	tv|bare	4241	0.01866177350653008	3889	0.017454254951505984	373344	0.9931832304791292
top_x_anc	cop_n|bare	1566	0.006890907170767769	1478	0.006633424741148327	141888	0.9969764884979703
top_x_anc	cv|bare	1316	0.005790826204808674	1175	0.005273527788125362	112800	0.9829609929078014
top_x_anc	tv|arg	1001	0.004404724187700214	943	0.004232286556767844	90528	0.7722914457405443
top_x_anc	iv|bare	481	0.002116555778505298	424	0.0019029581124809817	40704	0.9925560141509434
top_x_anc	cop_n|arg	466	0.002050550920547752	439	0.0019702797438187524	42144	0.7793280182232346
top_x_anc	cv|arg	268	0.0011792867955081495	259	0.0011624201677655052	24864	0.7397039897039897
top_x_anc	iv|arg	61	0.00026841975569401907	59	0.0002647984165952309	5664	0.6340042372881356
top_x_anc_subtype	tv|none	94913	0.4176479388883022	93568	0.41994336006750116	8982528	0.9977190162947447
top_x_anc_subtype	iv|none	48840	0.21491181750976873	48526	0.21778996548644367	4658496	0.9984780495679292
top_x_anc_subtype	cop_n|none	38538	0.16957968106452634	37046	0.1662664769692699	3556416	0.9975852093793302
top_x_anc_subtype	cv|none	35565	0.1564975182173408	35005	0.15710624699857728	3360480	0.992899228681617
top_x_anc_subtype	tv|bare	4241	0.01866177350653008	3889	0.017454254951505984	373344	0.9931832304791292
top_x_anc_subtype	cop_n|bare	1566	0.006890907170767769	1478	0.006633424741148327	141888	0.9969764884979703
top_x_anc_subtype	cv|bare	1316	0.005790826204808674	1175	0.005273527788125362	112800	0.9829609929078014
top_x_anc_subtype	tv|ge_only	605	0.002662195937621009	584	0.0026210555134172013	56064	0.7888127853881278
top_x_anc_subtype	iv|bare	481	0.002116555778505298	424	0.0019029581124809817	40704	0.9925560141509434
top_x_anc_subtype	tv|ob_only	380	0.0016721230682578238	344	0.001543909412012872	33024	0.7536337209302325
top_x_anc_subtype	cop_n|ge_only	234	0.0010296757841377125	220	0.0009873839262873017	21120	0.8022253787878788
top_x_anc_subtype	cop_n|ob_only	224	0.0009856725454993488	211	0.0009469909474846395	20256	0.7623913902053713
top_x_anc_subtype	cv|ge_only	188	0.0008272608864012391	181	0.0008123476848090983	17376	0.7704304788213628
top_x_anc_subtype	cv|ob_only	73	0.0003212236420600556	71	0.0003186557216654474	6816	0.6786971830985915
top_x_anc_subtype	iv|ge_only	46	0.0002024148977364734	45	0.00020196489401331174	4320	0.7377314814814815
top_x_anc_subtype	tv|ge_ob	16	7.040518182138205e-05	15	6.732163133777057e-05	1440	0.5569444444444445
top_x_anc_subtype	iv|ob_only	15	6.600485795754568e-05	14	6.283352258191921e-05	1344	0.3005952380952381
top_x_anc_subtype	cop_n|ge_ob	8	3.5202590910691024e-05	8	3.590487004681097e-05	768	0.5963541666666666
top_x_anc_subtype	cv|ge_ob	7	3.080226704685465e-05	7	3.1416761290959606e-05	672	0.5639880952380952
